"","Recording_ID","Recordist","License","Url"
"1",542141,"Aidan Place","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/542141"
"2",529792,"Marsha","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/529792"
"3",375653,"Paul Driver","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/375653"
"4",541196,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/541196"
"5",522855,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/522855"
"6",513646,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/513646"
"7",503143,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/503143"
"8",501232,"Jacob Saucier","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/501232"
"9",501231,"Jacob Saucier","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/501231"
"10",497611,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/497611"
"11",479486,"Meena Haribal","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/479486"
"12",469655,"Brian Hendrix","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/469655"
"13",469582,"Rolf A. de By","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/469582"
"14",467635,"Martin St-Michel","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/467635"
"15",465256,"William Whitehead","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/465256"
"16",465058,"Bobby Wilcox","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/465058"
"17",407931,"Jim Berry","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/407931"
"18",383949,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/383949"
"19",383483,"Eric Hough","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/383483"
"20",375008,"Scott Gravette","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/375008"
"21",370944,"Eric DeFonso","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/370944"
"22",370491,"Eric DeFonso","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/370491"
"23",350299,"Melani Sleder","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/350299"
"24",348110,"Patrick Blake","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/348110"
"25",318897,"Antonio Xeira","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/318897"
"26",316285,"Sue Riffe","//creativecommons.org/licenses/by-nc-sa/4.0/","//www.xeno-canto.org/316285"
